hm_name,交易次数,涉及股票数,交易天数,买入次数,卖出次数,平均交易金额,总交易金额,总买入金额,总卖出金额,净交易金额,涉及股票代码,涉及股票详情,最早交易日期,最晚交易日期
上海溧阳路,1,1,1,0.0,1.0,14323782.38,14323782.38,0.0,14323782.38,-14323782.38,688573.SH,688573.SH(信宇人),20250617,20250617
苏南帮,1,1,1,1.0,1.0,12935370.0,12935370.0,95725.0,13031095.0,-12935370.0,301357.SZ,301357.SZ(北方长龙),20250617,20250617
N周二,1,1,1,0.0,1.0,10849853.0,10849853.0,0.0,10849853.0,-10849853.0,605099.SH,605099.SH(共创草坪),20250617,20250617
宁波和源路,1,1,1,0.0,1.0,8210871.0,8210871.0,0.0,8210871.0,-8210871.0,605099.SH,605099.SH(共创草坪),20250617,20250617
炒股养家,2,2,1,1.0,1.0,3865071.0,7730142.0,157140.0,7573002.0,-7415862.0,002336.SZ|605198.SH,002336.SZ(人乐退)|605198.SH(安德利),20250617,20250617
大小说家,1,1,1,1.0,1.0,6158020.67,6158020.67,6300200.67,142180.0,6158020.67,870199.BJ,870199.BJ(倍益康),20250617,20250617
鑫多多,1,1,1,1.0,0.0,4054447.0,4054447.0,4054447.0,0.0,4054447.0,605198.SH,605198.SH(安德利),20250617,20250617
山东帮,1,1,1,1.0,1.0,3508006.32,3508006.32,790592.3,4298598.62,-3508006.32,836221.BJ,836221.BJ(易实精密),20250617,20250617
敢死队,2,2,1,1.0,1.0,902528.5,1805057.0,1188221.0,616836.0,571385.0,600387.SH|603003.SH,600387.SH(退市海越)|603003.SH(退市龙宇),20250617,20250617
欢乐海岸,1,1,1,1.0,1.0,1661631.0,1661631.0,3265828.0,4927459.0,-1661631.0,002898.SZ,002898.SZ(*ST赛隆),20250617,20250617
叶庆均,1,1,1,1.0,0.0,189734.82,189734.82,189734.82,0.0,189734.82,839680.BJ,839680.BJ(*ST广道),20250617,20250617
炒新一族,1,1,1,1.0,0.0,88740.0,88740.0,88740.0,0.0,88740.0,002336.SZ,002336.SZ(人乐退),20250617,20250617
