trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy,side,reason
20250617,002336.SZ,华泰证券股份有限公司上海武定路证券营业部,88740.0,5.64,0.0,0.0,88740.0,0,退市整理期
20250617,002336.SZ,国金证券股份有限公司上海奉贤区金碧路证券营业部,67500.0,4.29,0.0,0.0,67500.0,0,退市整理期
20250617,002336.SZ,东兴证券股份有限公司石狮濠江路证券营业部,0.0,0.0,609284.7,38.73,-609284.7,1,退市整理期
20250617,002336.SZ,机构专用,0.0,0.0,301065.3,19.14,-301065.3,1,退市整理期
20250617,002336.SZ,东吴证券股份有限公司重庆聚贤岩广场证券营业部,0.0,0.0,224955.0,14.3,-224955.0,1,退市整理期
20250617,002336.SZ,申万宏源证券有限公司深圳上步中路证券营业部,0.0,0.0,157500.0,10.01,-157500.0,1,退市整理期
20250617,002336.SZ,国投证券股份有限公司肇庆四会大道南证券营业部,0.0,0.0,50760.0,3.23,-50760.0,1,退市整理期
20250617,002366.SZ,深股通专用,81940907.8,2.49,123536562.0,3.75,-41595654.2,0,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,国泰海通证券股份有限公司上海静安区新闸路证券营业部,75068813.04,2.28,5650.0,0.0,75063163.04,0,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,国泰海通证券股份有限公司成都北一环路证券营业部,70257816.0,2.13,4604281.0,0.14,65653535.0,0,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,中泰证券股份有限公司湖北分公司,55819103.0,1.69,54188.0,0.0,55764915.0,0,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,开源证券股份有限公司西安高新成章路证券营业部,51941862.0,1.58,31734.0,0.0,51910128.0,0,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,深股通专用,81940907.8,2.49,123536562.0,3.75,-41595654.2,1,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,机构专用,15532330.0,0.47,32167064.28,0.98,-16634734.28,1,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,28165022.0,0.86,31764755.47,0.96,-3599733.47,1,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,30449941.21,0.92,31505900.92,0.96,-1055959.71,1,日涨幅偏离值达到7%的前5只证券
20250617,002366.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,26931654.21,0.82,29669267.0,0.9,-2737612.79,1,日涨幅偏离值达到7%的前5只证券
20250617,002554.SZ,机构专用,14572280.0,2.75,8775166.0,1.66,5797114.0,0,日振幅值达到15%的前5只证券
20250617,002554.SZ,浙商证券股份有限公司衢州分公司,7438031.0,1.4,83436.0,0.02,7354595.0,0,日振幅值达到15%的前5只证券
20250617,002554.SZ,山西证券股份有限公司长治英雄南路证券营业部,5526289.0,1.04,19064.0,0.0,5507225.0,0,日振幅值达到15%的前5只证券
20250617,002554.SZ,招商证券股份有限公司深圳红岭路证券营业部,5457845.0,1.03,100715.0,0.02,5357130.0,0,日振幅值达到15%的前5只证券
20250617,002554.SZ,机构专用,4624390.0,0.87,6204774.0,1.17,-1580384.0,0,日振幅值达到15%的前5只证券
20250617,002554.SZ,机构专用,14572280.0,2.75,8775166.0,1.66,5797114.0,1,日振幅值达到15%的前5只证券
20250617,002554.SZ,东方财富证券股份有限公司浙江分公司,0.0,0.0,7886359.0,1.49,-7886359.0,1,日振幅值达到15%的前5只证券
20250617,002554.SZ,机构专用,4624390.0,0.87,6204774.0,1.17,-1580384.0,1,日振幅值达到15%的前5只证券
20250617,002554.SZ,东方财富证券股份有限公司拉萨东环路第一证券营业部,3650965.0,0.69,5302732.0,1.0,-1651767.0,1,日振幅值达到15%的前5只证券
20250617,002554.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,3582783.0,0.68,5297568.0,1.0,-1714785.0,1,日振幅值达到15%的前5只证券
20250617,002615.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,15778961.0,1.51,6636750.0,0.63,9142211.0,0,日跌幅偏离值达到7%的前5只证券
20250617,002615.SZ,国信证券股份有限公司浙江互联网分公司,14923184.0,1.42,4773908.0,0.46,10149276.0,0,日跌幅偏离值达到7%的前5只证券
20250617,002615.SZ,东方财富证券股份有限公司拉萨东环路第一证券营业部,14293816.0,1.36,5097734.0,0.49,9196082.0,0,日跌幅偏离值达到7%的前5只证券
20250617,002615.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,14122512.0,1.35,28889719.2,2.76,-14767207.2,0,日跌幅偏离值达到7%的前5只证券
20250617,002615.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,11733891.0,1.12,6163249.0,0.59,5570642.0,0,日跌幅偏离值达到7%的前5只证券
20250617,002615.SZ,方正证券股份有限公司重庆金开大道证券营业部,26852.0,0.0,72412316.9,6.91,-72385464.9,1,日跌幅偏离值达到7%的前5只证券
20250617,002615.SZ,机构专用,4219726.0,0.4,39777114.1,3.8,-35557388.1,1,日跌幅偏离值达到7%的前5只证券
20250617,002615.SZ,中信证券股份有限公司浙江分公司,9696843.5,0.93,34471543.5,3.29,-24774700.0,1,日跌幅偏离值达到7%的前5只证券
20250617,002615.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,14122512.0,1.35,28889719.2,2.76,-14767207.2,1,日跌幅偏离值达到7%的前5只证券
