游资名称,股票代码,股票名称,买入金额,卖出金额,净交易金额,交易方向,营业部
【N周二】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002554.SZ,惠博普,"3,650,965.00","5,302,732.00","-1,651,767.00",净卖出,东方财富证券股份有限公司拉萨东环路第一证券营业部
,836221.BJ,易实精密,"4,607,482.67","3,048,537.61","1,558,945.06",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,920082.BJ,方正阀门,"2,850,928.41","4,258,459.48","-1,407,531.07",净卖出,东方财富证券股份有限公司拉萨团结路第二证券营业部
,002104.SZ,恒宝股份,"61,488,579.00","62,859,020.00","-1,370,441.00",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002181.SZ,粤 传 媒,"45,466,843.00","46,796,399.00","-1,329,556.00",净卖出,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,300773.SZ,拉卡拉,"76,814,596.00","75,524,241.00","1,290,355.00",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
,300157.SZ,新锦动力,"13,757,209.00","12,488,169.00","1,269,040.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,920082.BJ,方正阀门,"3,716,310.17","2,472,371.97","1,243,938.20",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,920088.BJ,科力股份,"18,298,415.55","19,438,023.10","-1,139,607.55",净卖出,东方财富证券股份有限公司拉萨团结路第二证券营业部
,603003.SH,退市龙宇,"1,072,468.60",,"1,072,468.60",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002366.SZ,融发核电,"30,449,941.00","31,505,901.00","-1,055,960.00",净卖出,东方财富证券股份有限公司拉萨团结路第一证券营业部
,002235.SZ,安妮股份,"18,049,414.00","17,004,391.00","1,045,023.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,301141.SZ,中科磁业,"10,430,484.00","11,470,380.00","-1,039,896.00",净卖出,东方财富证券股份有限公司拉萨团结路第一证券营业部
,002750.SZ,龙津退,"2,775.00","961,678.00","-958,903.00",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,920082.BJ,方正阀门,"2,795,755.42","3,728,675.36","-932,919.94",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,836221.BJ,易实精密,"4,829,306.25","3,915,373.18","913,933.07",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002898.SZ,*ST赛隆,"3,740,577.00","2,836,809.00","903,768.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,300468.SZ,四方精创,"128,930,897.00","129,812,919.00","-882,022.00",净卖出,东方财富证券股份有限公司拉萨东环路第一证券营业部
,301141.SZ,中科磁业,"10,666,334.00","9,882,840.00","783,494.00",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
