id,created,updated,hm_name,trade_date,hm_orgs,ts_code,ts_name,buy_amount,sell_amount,net_amount,tag
150612,2025-06-18 10:23:02.541368,2025-06-18 10:23:02.541378,量化基金,20250617,国泰海通证券股份有限公司总部,603716.SH,塞力医疗,13826103.0,11408771.59,2417331.41,
150613,2025-06-18 10:23:02.541458,2025-06-18 10:23:02.541468,量化基金,20250617,国泰海通证券股份有限公司总部,603585.SH,苏利股份,19742558.0,17766901.21,1975656.79,
150614,2025-06-18 10:23:02.541548,2025-06-18 10:23:02.541558,量化基金,20250617,国泰海通证券股份有限公司总部,688573.SH,信宇人,4924351.07,11001811.88,-6077460.81,
150615,2025-06-18 10:23:02.541638,2025-06-18 10:23:02.541648,量化基金,20250617,摩根大通证券(中国)有限公司上海银城中路证券营业部,600980.SH,北矿科技,16205154.0,25277239.3,-9072085.3,
150616,2025-06-18 10:23:02.541729,2025-06-18 10:23:02.541739,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,601975.SH,招商南油,0.0,25137029.34,-25137029.34,
150617,2025-06-18 10:23:02.541820,2025-06-18 10:23:02.541830,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,603222.SH,济民健康,3322844.0,1928697.0,1394147.0,
150618,2025-06-18 10:23:02.541910,2025-06-18 10:23:02.541919,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,600980.SH,北矿科技,31492996.0,40305071.0,-8812075.0,
150619,2025-06-18 10:23:02.542000,2025-06-18 10:23:02.542010,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,605198.SH,安德利,0.0,6015526.0,-6015526.0,
150620,2025-06-18 10:23:02.542090,2025-06-18 10:23:02.542100,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,600798.SH,宁波海运,0.0,16591474.0,-16591474.0,
150621,2025-06-18 10:23:02.542180,2025-06-18 10:23:02.542190,量化基金,20250617,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,603538.SH,美诺华,0.0,19810216.96,-19810216.96,
